Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,VISIBILITY,DATE_TIME,TIMEIN,TIMEOUT,BENTHOS,DETAIL.BENTHOS,RELIEF,DETIAL.RELIEF
9PR2-3,-32.02643384,115.5238024,20090703,07:45:00,Parker.Point,No-take,PR2,6,Sam,Yes,Yes,NA,6,2009-07-03T07:45:00Z,1899-12-30T07:45:00Z,1899-12-30T08:45:00Z,KELP,ECK,MPR,MPR
9PR2-4,-32.02643384,115.5238024,20090703,08:05:00,Parker.Point,No-take,PR2,8,Jordan,Yes,Yes,NA,7,2009-07-03T08:05:00Z,1899-12-30T08:05:00Z,1899-12-30T09:05:00Z,KELP,ECK,MPR,MPR
9WC1-1,-32.01628364,115.4512739,20090704,12:51:00,West.End,Fished,WC1,9,BenP,Yes,Yes,MAC,7,2009-07-04T12:51:00Z,1899-12-30T12:51:00Z,1899-12-30T13:51:00Z,KELP,ECK,LPR,LPR
9WC1-2,-32.01628364,115.4512739,20090704,12:40:00,West.End,Fished,WC1,8,Bryce,Yes,Yes,ECK,7,2009-07-04T12:40:00Z,1899-12-30T12:40:00Z,1899-12-30T13:40:00Z,MAC,MAC,MPR,MPR
9WC1-3,-32.01628364,115.4512739,20090704,12:42:00,West.End,Fished,WC1,9,NA,Yes,Yes,NA,7,2009-07-04T12:42:00Z,1899-12-30T12:42:00Z,1899-12-30T13:42:00Z,KELP,ECK,MPR,MPR
9WC1-4,-32.01628364,115.4512739,20090704,12:45:00,West.End,Fished,WC1,10,Ben S,No,No,NA,6,2009-07-04T12:45:00Z,1899-12-30T12:45:00Z,1899-12-30T13:45:00Z,UNKNOWN,NA,UNKNOWN,NA
9WC2-1,-32.01628364,115.4512739,20090704,12:34:00,West.End,Fished,WC2,10,Jordan,Yes,Yes,SA,7,2009-07-04T12:34:00Z,1899-12-30T12:34:00Z,1899-12-30T13:34:00Z,MAC,MAC,SIR,SIR
9WC2-2,-32.01628364,115.4512739,20090704,12:53:00,West.End,Fished,WC2,9,Sam,No,No,NA,7,2009-07-04T12:53:00Z,1899-12-30T12:53:00Z,1899-12-30T13:53:00Z,UNKNOWN,NA,UNKNOWN,NA
9WC2-3,-32.01628364,115.4512739,20090704,12:56:00,West.End,Fished,WC2,5,Russ,Yes,Yes,MAC,6,2009-07-04T12:56:00Z,1899-12-30T12:56:00Z,1899-12-30T13:56:00Z,SA,SA,SA,SIR
9WC2-4,-32.01628364,115.4512739,20090704,13:00:00,West.End,Fished,WC2,10,Russ,Yes,Yes,MAC,6,2009-07-04T13:00:00Z,1899-12-30T13:00:00Z,1899-12-30T14:00:00Z,KELP,ECK,MPR,MPR
9WC3-1,-32.02434855,115.4697714,20090703,09:53:00,West.End,Fished,WC3,10,Russ,Yes,No,NA,7,2009-07-03T09:53:00Z,1899-12-30T09:53:00Z,1899-12-30T10:53:00Z,UNKNOWN,NA,UNKNOWN,NA
9WC3-2,-32.02434855,115.4697714,20090703,09:58:00,West.End,Fished,WC3,10,Bryce,Yes,Yes,NA,7,2009-07-03T09:58:00Z,1899-12-30T09:58:00Z,1899-12-30T10:58:00Z,KELP,ECK,MPR,MPR
9WC3-3,-32.02434855,115.4697714,20090703,10:03:00,West.End,Fished,WC3,14,Bryce,Yes,Yes,NA,6,2009-07-03T10:03:00Z,1899-12-30T10:03:00Z,1899-12-30T11:03:00Z,KELP,ECK,MPR,MPR
9WC3-4,-32.02434855,115.4697714,20090703,10:07:00,West.End,Fished,WC3,14,BenP,Yes,Yes,NA,7,2009-07-03T10:07:00Z,1899-12-30T10:07:00Z,1899-12-30T11:07:00Z,KELP,ECK,LPR,LPR
9WC4-1,-32.02434855,115.4697714,20090703,10:11:00,West.End,Fished,WC4,10,Bryce,Yes,Yes,ECK,6,2009-07-03T10:11:00Z,1899-12-30T10:11:00Z,1899-12-30T11:11:00Z,MAC,MAC,MPR,MPR
