"project","campaignid","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB715","-20.194","115.36173","20150121","9:22:00","Montebello","Fished",NA,"52.2","Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB716","-20.247","115.33094","20150121","11:26:00","Montebello","Fished",NA,"41.3","Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB717","-20.239","115.33223","20150121","11:30:00","Montebello","Fished",NA,"41.6","Katrina","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB718","-20.233","115.33335","20150121","11:33:00","Montebello","Fished",NA,"41.1","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB719","-20.225","115.33253","20150121","11:36:00","Montebello","Fished",NA,"51.5","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB720","-20.216","115.33145","20150121","11:40:00","Montebello","Fished",NA,"42.5","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB721","-20.207","115.33126","20150121","11:45:00","Montebello","Fished",NA,"53.3","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB722","-20.199","115.33322","20150121","11:48:00","Montebello","Fished",NA,"52.7","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB723","-20.191","115.33459","20150121","11:53:00","Montebello","Fished",NA,"55.3","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB724","-20.182","115.33233","20150121","11:55:00","Montebello","Fished",NA,"57.4","Todd","Yes","Yes",NA
"Pilbara Marine Conservation Partnership","2015-01_Montebello.transect_stereoBRUVs","NCB725","-20.175","115.32552","20150121","11:59:00","Montebello","Fished",NA,"59.2","Todd","Yes","Yes",NA
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-1","-31.98670238","115.5188948","20090705","14:53:00","Armstrong","Fished","AC1","6","Ben S","Yes","Yes",NA
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-2","-31.98670238","115.5188948","20090705","14:55:00","Armstrong","Fished","AC1","7","Russ","Yes","Yes",NA
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-3","-31.98670238","115.5188948","20090705","14:58:00","Armstrong","Fished","AC1","7","Russ","Yes","Yes","SA"
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC1-4","-31.98670238","115.5188948","20090705","15:01:00","Armstrong","Fished","AC1","6","Russ","Yes","Yes","MAC"
"Rottnest Island Marine Reserve long-term monitoring","2009-07_Rottnest.sanctuaries_stereoBRUVs","9AC2-1","-31.98670238","115.5188948","20090705","15:03:00","Armstrong","Fished","AC2","10","Russ","Yes","Yes","SA"
