"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB117","Chaetodontidae","Chaetodon","lunula",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB117","Lutjanidae","Lutjanus","carponotatus",4,3,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB118","Muraenidae","Gymnothorax","thrysoideus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB120","Chaetodontidae","Chaetodon","lunulatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB120","Muraenidae","Gymnothorax","thrysoideus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB120","Nemipteridae","Scolopsis","bilineata",3,2,1,33.3333333333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB120","Pomacentridae","Neopomacentrus","azysron",7,6,1,14.2857142857143
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB122","Carangidae","Selaroides","leptolepis",150,149,1,0.666666666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB124","Carangidae","Selaroides","leptolepis",161,160,1,0.62111801242236
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB124","Synodontidae","Trachinocephalus","myops",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB125","Acanthuridae","Acanthurus","grammoptilus",4,3,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB125","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB128","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB129","Chaetodontidae","Chaetodon","aureofasciatus",3,2,1,33.3333333333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB13","Pinguipedidae","Parapercis","nebulosa",1,2,1,100
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB13","Synodontidae","Trachinocephalus","myops",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB130","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB131","Acanthuridae","Acanthurus","grammoptilus",7,6,1,14.2857142857143
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB132","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB134","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB134","Muraenidae","Gymnothorax","thrysoideus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB136","Carangidae","Atule","mate",16,15,1,6.25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB136","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB137","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB140","Monacanthidae","Acreichthys","tomentosus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB142","Synodontidae","Trachinocephalus","myops",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB143","Lethrinidae","Lethrinus","spp",1,2,1,100
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB148","Serranidae","Epinephelus","bilobatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB149","Lethrinidae","Lethrinus","punctulatus",4,3,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB151","Balistidae","Sufflamen","chrysopterum",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB152","Pomacentridae","Dascyllus","trimaculatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB153","Pomacentridae","Abudefduf","bengalensis",5,4,1,20
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB155","Pomacentridae","Chromis","fumea",13,12,1,7.69230769230769
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB156","Lutjanidae","Lutjanus","lemniscatus",7,6,1,14.2857142857143
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB157","Carangidae","Carangoides","fulvoguttatus",5,4,1,20
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB157","Serranidae","Plectropomus","spp",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB159","Caesionidae","Caesio","teres",1,2,1,100
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB159","Pomacentridae","Pomacentrus","coelestis",39,38,1,2.56410256410256
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB161","Labridae","Cirrhilabrus","spp",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB162","Serranidae","Epinephelus","bilobatus",5,4,1,20
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB164","Labridae","Coris","caudimacula",13,12,1,7.69230769230769
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB167","Pomacanthidae","Pomacanthus","semicirculatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB167","Tetraodontidae","Canthigaster","coronata",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB172","Labridae","Cirrhilabrus","temminckii",4,3,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB174","Tetraodontidae","Canthigaster","coronata",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB175","Muraenidae","Gymnothorax","thrysoideus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB176","Labridae","Cirrhilabrus","temminckii",6,7,1,16.6666666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB176","Labridae","Oxycheilinus","rhodochrous",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB177","Labridae","Halichoeres","nebulosus",4,3,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB181","Chaetodontidae","Chaetodon","lunulatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB183","Labridae","Oxycheilinus","bimaculatus",1,2,1,100
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB184","Haemulidae","Diagramma","labiosum",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB186","Tetraodontidae","Canthigaster","coronata",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB188","Serranidae","Epinephelus","bilobatus",7,6,1,14.2857142857143
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB189","Labridae","Halichoeres","biocellatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB189","Labridae","Macropharyngodon","negrosensis",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB189","Nemipteridae","Pentapodus","porosus",2,3,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB192","Labridae","Cirrhilabrus","temminckii",4,3,1,25
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB193","Chaetodontidae","Heniochus","acuminatus",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB193","Pomacentridae","Pomacentrus","coelestis",114,113,1,0.87719298245614
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB196","Labridae","Hologymnosus","annulatus",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB197","Chaetodontidae","Chaetodon","lunula",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB197","Scaridae","Scarus","rivulatus",2,3,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB198","Apogonidae","Apogon","doederleini",0,1,1,Inf
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB198","Pomacentridae","Neopomacentrus","azysron",2,1,1,50
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB199","Carangidae","Atule","mate",15,14,1,6.66666666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB20","Chaetodontidae","Parachaetodon","ocellatus",3,2,1,33.3333333333333
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB203","Pomacentridae","Pomacentrus","limosus",2,1,1,50
