"campaignid","sample","family","genus","species","length"
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB283","Ginglymostomatidae","Nebrius","ferrugineus",1867.03018
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB304","Carcharhinidae","Carcharhinus","amblyrhynchos",1166.77902
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB304","Carcharhinidae","Carcharhinus","amblyrhynchos",1218.98768
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB348","Carcharhinidae","Carcharhinus","amblyrhynchos",1645.08689
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB300","Carcharhinidae","Carcharhinus","amblyrhynchos",1233.51027
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB300","Carcharhinidae","Carcharhinus","amblyrhynchos",1044.09424
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB320","Carcharhinidae","Carcharhinus","plumbeus",1353.61886
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB274","Carcharhinidae","Carcharhinus","amblyrhynchos",1171.2218
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB310","Kyphosidae","Kyphosus","vaigiensis",1319.24007
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB310","Carcharhinidae","Carcharhinus","amblyrhynchos",1002.96196
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB311","Carcharhinidae","Carcharhinus","amblyrhynchos",1299.64563
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB281","Carcharhinidae","Carcharhinus","amblyrhynchos",1434.33771
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB306","Carcharhinidae","Carcharhinus","amblyrhynchos",1028.08334
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB302","Carcharhinidae","Carcharhinus","amblyrhynchos",1121.65026
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB380","Elopidae","Elops","hawaiensis",1117.29229
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB379","Carcharhinidae","Triaenodon","obesus",1136.4096
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB325","Scombridae","Scomberomorus","spp",1193.0829
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB325","Scombridae","Scomberomorus","spp",1203.57151
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB325","Scombridae","Scomberomorus","spp",1159.04926
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB325","Scombridae","Scomberomorus","spp",1079.64373
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB315","Carcharhinidae","Carcharhinus","amblyrhynchos",1012.11523
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB345","Serranidae","Epinephelus","malabaricus",1150.03692
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB345","Carcharhinidae","Carcharhinus","amblyrhynchos",1002.10164
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB345","Dasyatidae","Taeniurops","meyeni",1206.05416
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB299","Carcharhinidae","Carcharhinus","amblyrhynchos",1401.06802
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB299","Carcharhinidae","Carcharhinus","amblyrhynchos",1260.39314
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB299","Carcharhinidae","Carcharhinus","amblyrhynchos",1361.35536
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB373","Scombridae","Scomberomorus","spp",1221.45187
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB336","Dasyatidae","Taeniurops","meyeni",1154.19655
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB369","Scombridae","Scomberomorus","spp",1119.92697
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB369","Scombridae","Scomberomorus","spp",1151.37815
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB381","Scombridae","Scomberomorus","spp",1117.11851
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB277","Carcharhinidae","Triaenodon","obesus",1157.87477
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB323","Carcharhinidae","Carcharhinus","amboinensis",1446.67923
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB323","Serranidae","Epinephelus","tukula",1012.49007
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB323","Serranidae","Epinephelus","tukula",1344.69386
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB339","Carcharhinidae","Carcharhinus","amblyrhynchos",1108.60689
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB346","Carcharhinidae","Carcharhinus","amblyrhynchos",1022.92333
