"campaignid","sample","family","genus","species","length","fb.length_max","fb.ltypemaxm","percent.error"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB77","Chaetodontidae","Heniochus","acuminatus",337.24814,250,"TL",34.899256
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB126","Carangidae","Atule","mate",403.39159,300,"TL",34.4638633333333
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB316","Caesionidae","Pterocaesio","digramma",402.1652,300,"TL",34.0550666666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB103","Nemipteridae","Pentapodus","porosus",361.02708,270,"TL",33.7137333333333
"2015-01_Montebello.transect_stereoBRUVs","NCB643","Tetraodontidae","Feroxodon","multistriatus",520.74066,390,"TL",33.5232461538462
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB120","Nemipteridae","Scolopsis","bilineata",332.87465,250,"TL",33.14986
"2014-10_Exmouth.to.Dampier.deep_stereoBRUVs","NCB487","Tetraodontidae","Feroxodon","multistriatus",518.72955,390,"TL",33.0075769230769
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB371","Acanthuridae","Acanthurus","mata",664.54017,500,"TL",32.908034
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB172","Carangidae","Selaroides","leptolepis",291.505,220,"TL",32.5022727272727
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB364","Caesionidae","Pterocaesio","tile",396.97587,300,"TL",32.32529
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB271","Tetraodontidae","Feroxodon","multistriatus",515.01874,390,"TL",32.0560871794872
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB306","Scombridae","Cybiosarda","elegans",593.96035,450,"FL",31.9911888888889
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB220","Tetraodontidae","Feroxodon","multistriatus",513.53695,390,"TL",31.676141025641
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB281","Carangidae","Alepes","vari",736.62406,560,"TL",31.5400107142857
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1523","Carangidae","Atule","mate",394.56689,300,"TL",31.5222966666667
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB137","Scaridae","Scarus","rivulatus",525.46302,400,"SL",31.365755
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB371","Acanthuridae","Acanthurus","mata",655.29863,500,"TL",31.059726
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB350","Balistidae","Sufflamen","fraenatum",497.3485,380,"TL",30.8811842105263
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1275","Tetraodontidae","Lagocephalus","lunaris",588.7879,450,"SL",30.8417555555556
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1335","Tetraodontidae","Feroxodon","multistriatus",508.67474,390,"TL",30.4294205128205
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB530","Tetraodontidae","Feroxodon","multistriatus",508.38211,390,"TL",30.3543871794872
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB234","Tetraodontidae","Feroxodon","multistriatus",508.34884,390,"TL",30.3458564102564
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB162","Serranidae","Epinephelus","bilobatus",519.76487,400,"TL",29.9412175
"2015-01_Montebello.transect_stereoBRUVs","NCB649","Carangidae","Atule","mate",389.678,300,"TL",29.8926666666667
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB371","Acanthuridae","Acanthurus","mata",649.30584,500,"TL",29.861168
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB371","Acanthuridae","Acanthurus","mata",648.73885,500,"TL",29.74777
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1307","Tetraodontidae","Lagocephalus","lunaris",582.09048,450,"SL",29.35344
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB172","Carangidae","Selaroides","leptolepis",282.9104,220,"TL",28.5956363636364
"2015-09_Exmouth.Gulf_stereoBRUVs","NCB1298","Tetraodontidae","Lagocephalus","lunaris",578.15521,450,"SL",28.4789355555556
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB315","Chaetodontidae","Chaetodon","auriga",295.17934,230,"TL",28.3388434782609
"2015-09_Dampier.Archipelago_stereoBRUVs","NCB1531","Tetraodontidae","Feroxodon","multistriatus",500.48216,390,"TL",28.328758974359
"2015-01_Montebello.transect_stereoBRUVs","NCB668","Tetraodontidae","Feroxodon","multistriatus",500.20212,390,"TL",28.2569538461538
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB360","Caesionidae","Pterocaesio","digramma",384.05605,300,"TL",28.0186833333333
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB295","Scaridae","Scarus","rivulatus",511.57179,400,"SL",27.8929475
"2014-10_Ningaloo.shallow.sanctuaries_stereoBRUVs","NCB376","Siganidae","Siganus","trispilos",318.18853,250,"TL",27.275412
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB572","Acanthuridae","Acanthurus","grammoptilus",445.41854,350,"TL",27.26244
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB59","Siganidae","Siganus","doliatus",381.50782,300,"SL",27.1692733333333
"2015-09_Mackerel.Islands.shallow_stereoBRUVs","MNCB315","Monacanthidae","Paramonacanthus","choirocephalus",190.60041,150,"SL",27.06694
"2015-09_Exmouth.Gulf_stereoBRUVs","MNCB223","Pomacentridae","Pomacentrus","milleri",126.88877,100,"SL",26.88877
