"campaignid","sample","family","genus","species","length","range","number","comment","project","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB150","Carcharhinidae","Galeocerdo","cuvier",3292.3517,4903.47899,1,"NA","Pilbara Marine Conservation Partnership",-21.4774036,114.9023174,20140511,13:55:00,"Pilbara","Fished","NA",9,"Matt","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB120","Carcharhinidae","Triaenodon","obesus",1223.25215,2627.80055,1,"NA","Pilbara Marine Conservation Partnership",-21.3167103,115.1506088,20140510,11:57:00,"Pilbara","Fished","NA",9.3,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB210","Carcharhinidae","Carcharhinus","amblyrhynchos",1171.60794,2100.62689,1,"NA","Pilbara Marine Conservation Partnership",-21.6282682,114.373542,20140513,14:52:00,"Muirons","Fished","NA",13.2,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB210","Serranidae","Epinephelus","tukula",1281.79242,6810.38448,1,"NA","Pilbara Marine Conservation Partnership",-21.6282682,114.373542,20140513,14:52:00,"Muirons","Fished","NA",13.2,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB137","Carcharhinidae","Triaenodon","obesus",1041.10409,3530.36102,1,"NA","Pilbara Marine Conservation Partnership",-21.4183928,114.9467082,20140511,08:14:00,"Pilbara","Fished","NA",11.9,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB137","Carcharhinidae","Carcharhinus","amblyrhynchos",1641.67568,5910.28408,1,"NA","Pilbara Marine Conservation Partnership",-21.4183928,114.9467082,20140511,08:14:00,"Pilbara","Fished","NA",11.9,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB183","Carcharhinidae","Negaprion","acutidens",1831.95257,2071.84834,1,"NA","Pilbara Marine Conservation Partnership",-21.589,114.6513333,20140512,14:20:00,"Pilbara","Fished","NA",8.2,"Emma","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB145","Sphyraenidae","Sphyraena","jello",1134.70245,2106.54026,1,"NA","Pilbara Marine Conservation Partnership",-21.4561553,115.0408559,20140511,11:00:00,"Pilbara","Fished","NA",10.3,"Matt","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB1","Carcharhinidae","Galeocerdo","cuvier",1742.88921,4281.74295,1,"NA","Pilbara Marine Conservation Partnership",-20.6328043,116.4647078,20140506,08:10:00,"Pilbara","Fished","NA",11.8,"Matt","Yes","Yes"
"2014-05_Exmouth.to.Dampier.shallow_stereoBRUVs","NCB234","Elopidae","Elops","hawaiensis",1004.46044,2061.97839,1,"NA","Pilbara Marine Conservation Partnership",-21.9094162,114.1533567,20140514,13:00:00,"S.Bundegi","Fished","NA",8.1,"Todd","Yes","Yes"
